aprendizajeA.txt: 
Numero de documentos del corpus: 652
Numero de palabras del corpus: 9493
Palabra: agricultural Frec: 0 LogProb: -9.527993782923948
Palabra: ahead Frec: 0 LogProb: -9.527993782923948
Palabra: aid Frec: 1 LogProb: -8.834846602364003
Palabra: aided Frec: 1 LogProb: -8.834846602364003
Palabra: aig Frec: 0 LogProb: -9.527993782923948
Palabra: aim Frec: 0 LogProb: -9.527993782923948
Palabra: aimed Frec: 0 LogProb: -9.527993782923948
Palabra: aiming Frec: 1 LogProb: -8.834846602364003
Palabra: aims Frec: 6 LogProb: -7.582083633868635
Palabra: airs Frec: 0 LogProb: -9.527993782923948
Palabra: aksi Frec: 0 LogProb: -9.527993782923948
Palabra: alan Frec: 2 LogProb: -8.42938149425584
Palabra: albert Frec: 0 LogProb: -9.527993782923948
Palabra: alert Frec: 0 LogProb: -9.527993782923948
Palabra: alerts Frec: 2 LogProb: -8.42938149425584
Palabra: algeria Frec: 0 LogProb: -9.527993782923948
Palabra: alibaba Frec: 0 LogProb: -9.527993782923948
Palabra: align Frec: 0 LogProb: -9.527993782923948
Palabra: aligns Frec: 0 LogProb: -9.527993782923948
Palabra: all Frec: 16 LogProb: -6.694780438867732
Palabra: allergies Frec: 0 LogProb: -9.527993782923948
Palabra: allergy Frec: 0 LogProb: -9.527993782923948
Palabra: alleviating Frec: 0 LogProb: -9.527993782923948
Palabra: alliance Frec: 2 LogProb: -8.42938149425584
Palabra: allow Frec: 0 LogProb: -9.527993782923948
Palabra: allows Frec: 0 LogProb: -9.527993782923948
Palabra: almost Frec: 2 LogProb: -8.42938149425584
Palabra: along Frec: 2 LogProb: -8.42938149425584
Palabra: alongside Frec: 2 LogProb: -8.42938149425584
Palabra: aloysius Frec: 0 LogProb: -9.527993782923948
Palabra: alpha Frec: 0 LogProb: -9.527993782923948
Palabra: already Frec: 0 LogProb: -9.527993782923948
Palabra: also Frec: 0 LogProb: -9.527993782923948
Palabra: alternative Frec: 0 LogProb: -9.527993782923948
Palabra: alum Frec: 0 LogProb: -9.527993782923948
Palabra: always Frec: 5 LogProb: -7.736234313695893
Palabra: alzheimer's Frec: 3 LogProb: -8.141699421804057
Palabra: amazing Frec: 0 LogProb: -9.527993782923948
Palabra: amazon Frec: 0 LogProb: -9.527993782923948
Palabra: ambassadors Frec: 0 LogProb: -9.527993782923948
Palabra: ambition Frec: 0 LogProb: -9.527993782923948
Palabra: america Frec: 2 LogProb: -8.42938149425584
Palabra: americamerrill Frec: 1 LogProb: -8.834846602364003
Palabra: american Frec: 2 LogProb: -8.42938149425584
Palabra: americans Frec: 3 LogProb: -8.141699421804057
Palabra: americas Frec: 0 LogProb: -9.527993782923948
Palabra: amid Frec: 0 LogProb: -9.527993782923948
Palabra: among Frec: 1 LogProb: -8.834846602364003
Palabra: amounts Frec: 26 LogProb: -6.232156916919619
Palabra: an Frec: 21 LogProb: -6.436951329565632
Palabra: ana Frec: 0 LogProb: -9.527993782923948
Palabra: analysing Frec: 0 LogProb: -9.527993782923948
Palabra: analysis Frec: 0 LogProb: -9.527993782923948
Palabra: analyst Frec: 0 LogProb: -9.527993782923948
Palabra: analysts Frec: 0 LogProb: -9.527993782923948
Palabra: analytics Frec: 0 LogProb: -9.527993782923948
Palabra: anand Frec: 0 LogProb: -9.527993782923948
Palabra: and Frec: 86 LogProb: -5.062085664269365
Palabra: android Frec: 1 LogProb: -8.834846602364003
Palabra: anew Frec: 0 LogProb: -9.527993782923948
Palabra: angeles Frec: 0 LogProb: -9.527993782923948
Palabra: angry Frec: 0 LogProb: -9.527993782923948
Palabra: anil Frec: 0 LogProb: -9.527993782923948
Palabra: animal Frec: 2 LogProb: -8.42938149425584
Palabra: animals Frec: 2 LogProb: -8.42938149425584
Palabra: animation Frec: 0 LogProb: -9.527993782923948
Palabra: ann Frec: 0 LogProb: -9.527993782923948
Palabra: anniversary Frec: 0 LogProb: -9.527993782923948
Palabra: announce Frec: 0 LogProb: -9.527993782923948
Palabra: announced Frec: 2 LogProb: -8.42938149425584
Palabra: announces Frec: 0 LogProb: -9.527993782923948
Palabra: announcing Frec: 1 LogProb: -8.834846602364003
Palabra: annual Frec: 6 LogProb: -7.582083633868635
Palabra: annually Frec: 2 LogProb: -8.42938149425584
Palabra: answer Frec: 2 LogProb: -8.42938149425584
Palabra: antarctic Frec: 1 LogProb: -8.834846602364003
Palabra: antero Frec: 0 LogProb: -9.527993782923948
Palabra: anticorrupt Frec: 0 LogProb: -9.527993782923948
Palabra: antiretroviral Frec: 1 LogProb: -8.834846602364003
Palabra: antismoking Frec: 0 LogProb: -9.527993782923948
Palabra: any Frec: 2 LogProb: -8.42938149425584
Palabra: anyhoo Frec: 0 LogProb: -9.527993782923948
Palabra: anything Frec: 1 LogProb: -8.834846602364003
Palabra: ap Frec: 0 LogProb: -9.527993782923948
Palabra: apart Frec: 0 LogProb: -9.527993782923948
Palabra: apixaban Frec: 1 LogProb: -8.834846602364003
Palabra: app Frec: 7 LogProb: -7.448552241244112
Palabra: appeal Frec: 0 LogProb: -9.527993782923948
Palabra: apple Frec: 0 LogProb: -9.527993782923948
Palabra: application Frec: 0 LogProb: -9.527993782923948
Palabra: applications Frec: 1 LogProb: -8.834846602364003
