aprendizajeI.txt: 
Numero de documentos del corpus: 859
Numero de palabras del corpus: 11118
Palabra: agricultural Frec: 2 LogProb: -8.541170100797686
Palabra: ahead Frec: 4 LogProb: -8.030344477031695
Palabra: aid Frec: 1 LogProb: -8.94663520890585
Palabra: aided Frec: 0 LogProb: -9.639782389465795
Palabra: aig Frec: 1 LogProb: -8.94663520890585
Palabra: aim Frec: 2 LogProb: -8.541170100797686
Palabra: aimed Frec: 1 LogProb: -8.94663520890585
Palabra: aiming Frec: 0 LogProb: -9.639782389465795
Palabra: aims Frec: 1 LogProb: -8.94663520890585
Palabra: airs Frec: 1 LogProb: -8.94663520890585
Palabra: aksi Frec: 0 LogProb: -9.639782389465795
Palabra: alan Frec: 0 LogProb: -9.639782389465795
Palabra: albert Frec: 1 LogProb: -8.94663520890585
Palabra: alert Frec: 2 LogProb: -8.541170100797686
Palabra: alerts Frec: 0 LogProb: -9.639782389465795
Palabra: algeria Frec: 1 LogProb: -8.94663520890585
Palabra: alibaba Frec: 1 LogProb: -8.94663520890585
Palabra: align Frec: 1 LogProb: -8.94663520890585
Palabra: aligns Frec: 1 LogProb: -8.94663520890585
Palabra: all Frec: 10 LogProb: -7.241887116667425
Palabra: allergies Frec: 3 LogProb: -8.253488028345904
Palabra: allergy Frec: 4 LogProb: -8.030344477031695
Palabra: alleviating Frec: 1 LogProb: -8.94663520890585
Palabra: alliance Frec: 0 LogProb: -9.639782389465795
Palabra: allow Frec: 0 LogProb: -9.639782389465795
Palabra: allows Frec: 1 LogProb: -8.94663520890585
Palabra: almost Frec: 1 LogProb: -8.94663520890585
Palabra: along Frec: 0 LogProb: -9.639782389465795
Palabra: alongside Frec: 0 LogProb: -9.639782389465795
Palabra: aloysius Frec: 1 LogProb: -8.94663520890585
Palabra: alpha Frec: 1 LogProb: -8.94663520890585
Palabra: already Frec: 2 LogProb: -8.541170100797686
Palabra: also Frec: 2 LogProb: -8.541170100797686
Palabra: alternative Frec: 1 LogProb: -8.94663520890585
Palabra: alum Frec: 1 LogProb: -8.94663520890585
Palabra: always Frec: 0 LogProb: -9.639782389465795
Palabra: alzheimer's Frec: 0 LogProb: -9.639782389465795
Palabra: amazing Frec: 0 LogProb: -9.639782389465795
Palabra: amazon Frec: 1 LogProb: -8.94663520890585
Palabra: ambassadors Frec: 2 LogProb: -8.541170100797686
Palabra: ambition Frec: 3 LogProb: -8.253488028345904
Palabra: america Frec: 8 LogProb: -7.442557812129576
Palabra: americamerrill Frec: 0 LogProb: -9.639782389465795
Palabra: american Frec: 4 LogProb: -8.030344477031695
Palabra: americans Frec: 3 LogProb: -8.253488028345904
Palabra: americas Frec: 2 LogProb: -8.541170100797686
Palabra: amid Frec: 1 LogProb: -8.94663520890585
Palabra: among Frec: 7 LogProb: -7.56034084778596
Palabra: amounts Frec: 0 LogProb: -9.639782389465795
Palabra: an Frec: 19 LogProb: -6.644050115911805
Palabra: ana Frec: 1 LogProb: -8.94663520890585
Palabra: analysing Frec: 1 LogProb: -8.94663520890585
Palabra: analysis Frec: 5 LogProb: -7.8480229202377405
Palabra: analyst Frec: 5 LogProb: -7.8480229202377405
Palabra: analysts Frec: 1 LogProb: -8.94663520890585
Palabra: analytics Frec: 3 LogProb: -8.253488028345904
Palabra: anand Frec: 1 LogProb: -8.94663520890585
Palabra: and Frec: 142 LogProb: -4.676937759205888
Palabra: android Frec: 0 LogProb: -9.639782389465795
Palabra: anew Frec: 1 LogProb: -8.94663520890585
Palabra: angeles Frec: 1 LogProb: -8.94663520890585
Palabra: angry Frec: 1 LogProb: -8.94663520890585
Palabra: anil Frec: 1 LogProb: -8.94663520890585
Palabra: animal Frec: 1 LogProb: -8.94663520890585
Palabra: animals Frec: 1 LogProb: -8.94663520890585
Palabra: animation Frec: 1 LogProb: -8.94663520890585
Palabra: ann Frec: 1 LogProb: -8.94663520890585
Palabra: anniversary Frec: 1 LogProb: -8.94663520890585
Palabra: announce Frec: 6 LogProb: -7.6938722404104825
Palabra: announced Frec: 2 LogProb: -8.541170100797686
Palabra: announces Frec: 15 LogProb: -6.867193667226014
Palabra: announcing Frec: 0 LogProb: -9.639782389465795
Palabra: annual Frec: 6 LogProb: -7.6938722404104825
Palabra: annually Frec: 1 LogProb: -8.94663520890585
Palabra: answer Frec: 0 LogProb: -9.639782389465795
Palabra: antarctic Frec: 0 LogProb: -9.639782389465795
Palabra: antero Frec: 2 LogProb: -8.541170100797686
Palabra: anticorrupt Frec: 1 LogProb: -8.94663520890585
Palabra: antiretroviral Frec: 0 LogProb: -9.639782389465795
Palabra: antismoking Frec: 1 LogProb: -8.94663520890585
Palabra: any Frec: 2 LogProb: -8.541170100797686
Palabra: anyhoo Frec: 0 LogProb: -9.639782389465795
Palabra: anything Frec: 0 LogProb: -9.639782389465795
Palabra: ap Frec: 1 LogProb: -8.94663520890585
Palabra: apart Frec: 1 LogProb: -8.94663520890585
Palabra: apixaban Frec: 0 LogProb: -9.639782389465795
Palabra: app Frec: 2 LogProb: -8.541170100797686
Palabra: appeal Frec: 2 LogProb: -8.541170100797686
Palabra: apple Frec: 1 LogProb: -8.94663520890585
Palabra: application Frec: 2 LogProb: -8.541170100797686
Palabra: applications Frec: 0 LogProb: -9.639782389465795
Palabra: applied Frec: 1 LogProb: -8.94663520890585
Palabra: applies Frec: 0 LogProb: -9.639782389465795
Palabra: apply Frec: 0 LogProb: -9.639782389465795
Palabra: appointed Frec: 1 LogProb: -8.94663520890585
Palabra: appointment Frec: 4 LogProb: -8.030344477031695
Palabra: appoints Frec: 1 LogProb: -8.94663520890585
Palabra: appreciation Frec: 2 LogProb: -8.541170100797686
Palabra: approach Frec: 2 LogProb: -8.541170100797686
Palabra: approaches Frec: 1 LogProb: -8.94663520890585
Palabra: approved Frec: 1 LogProb: -8.94663520890585
Palabra: approx Frec: 1 LogProb: -8.94663520890585
Palabra: aprenda Frec: 0 LogProb: -9.639782389465795
Palabra: april Frec: 2 LogProb: -8.541170100797686
Palabra: aproch Frec: 0 LogProb: -9.639782389465795
Palabra: apts Frec: 1 LogProb: -8.94663520890585
Palabra: archive Frec: 0 LogProb: -9.639782389465795
Palabra: are Frec: 65 LogProb: -5.45012764743937
Palabra: areas Frec: 3 LogProb: -8.253488028345904
Palabra: aren't Frec: 0 LogProb: -9.639782389465795
Palabra: armynavy Frec: 0 LogProb: -9.639782389465795
Palabra: arnette Frec: 0 LogProb: -9.639782389465795
Palabra: around Frec: 8 LogProb: -7.442557812129576
Palabra: arrived Frec: 0 LogProb: -9.639782389465795
Palabra: arrogant Frec: 1 LogProb: -8.94663520890585
Palabra: art Frec: 1 LogProb: -8.94663520890585
Palabra: arthritis Frec: 0 LogProb: -9.639782389465795
Palabra: article Frec: 1 LogProb: -8.94663520890585
Palabra: articles Frec: 1 LogProb: -8.94663520890585
Palabra: arturo Frec: 1 LogProb: -8.94663520890585
Palabra: aruba Frec: 1 LogProb: -8.94663520890585
Palabra: as Frec: 45 LogProb: -5.8111409929767
Palabra: asap Frec: 1 LogProb: -8.94663520890585
Palabra: asia Frec: 8 LogProb: -7.442557812129576
Palabra: asian Frec: 3 LogProb: -8.253488028345904
Palabra: aside Frec: 1 LogProb: -8.94663520890585
Palabra: ask Frec: 1 LogProb: -8.94663520890585
Palabra: asks Frec: 1 LogProb: -8.94663520890585
Palabra: asn Frec: 1 LogProb: -8.94663520890585
Palabra: aspecial Frec: 0 LogProb: -9.639782389465795
Palabra: aspects Frec: 0 LogProb: -9.639782389465795
Palabra: aspen Frec: 1 LogProb: -8.94663520890585
Palabra: aspiring Frec: 1 LogProb: -8.94663520890585
Palabra: asset Frec: 5 LogProb: -7.8480229202377405
Palabra: assets Frec: 5 LogProb: -7.8480229202377405
Palabra: assisting Frec: 2 LogProb: -8.541170100797686
Palabra: associated Frec: 1 LogProb: -8.94663520890585
Palabra: association Frec: 4 LogProb: -8.030344477031695
Palabra: assure Frec: 0 LogProb: -9.639782389465795
Palabra: at Frec: 74 LogProb: -5.322294275929485
Palabra: ate Frec: 0 LogProb: -9.639782389465795
Palabra: athlete Frec: 2 LogProb: -8.541170100797686
Palabra: athletes Frec: 2 LogProb: -8.541170100797686
Palabra: attacks Frec: 1 LogProb: -8.94663520890585
Palabra: attacksstrokes Frec: 0 LogProb: -9.639782389465795
Palabra: attain Frec: 1 LogProb: -8.94663520890585
Palabra: attitudes Frec: 2 LogProb: -8.541170100797686
Palabra: attract Frec: 1 LogProb: -8.94663520890585
Palabra: au Frec: 1 LogProb: -8.94663520890585
Palabra: auction Frec: 1 LogProb: -8.94663520890585
Palabra: audio Frec: 0 LogProb: -9.639782389465795
Palabra: august Frec: 0 LogProb: -9.639782389465795
Palabra: austerity Frec: 2 LogProb: -8.541170100797686
Palabra: austin Frec: 0 LogProb: -9.639782389465795
Palabra: australia Frec: 1 LogProb: -8.94663520890585
Palabra: australian Frec: 0 LogProb: -9.639782389465795
Palabra: authorities Frec: 1 LogProb: -8.94663520890585
Palabra: autoenrolment Frec: 1 LogProb: -8.94663520890585
Palabra: automated Frec: 1 LogProb: -8.94663520890585
Palabra: autonomy Frec: 1 LogProb: -8.94663520890585
Palabra: available Frec: 1 LogProb: -8.94663520890585
Palabra: average Frec: 3 LogProb: -8.253488028345904
Palabra: avert Frec: 0 LogProb: -9.639782389465795
Palabra: avoid Frec: 0 LogProb: -9.639782389465795
Palabra: award Frec: 17 LogProb: -6.7494106315696305
Palabra: awarded Frec: 5 LogProb: -7.8480229202377405
Palabra: awarding Frec: 1 LogProb: -8.94663520890585
Palabra: awards Frec: 42 LogProb: -5.878582273772233
Palabra: awardwinning Frec: 2 LogProb: -8.541170100797686
Palabra: aware Frec: 1 LogProb: -8.94663520890585
Palabra: awareness Frec: 3 LogProb: -8.253488028345904
Palabra: away Frec: 0 LogProb: -9.639782389465795
Palabra: awesome Frec: 0 LogProb: -9.639782389465795
Palabra: b Frec: 0 LogProb: -9.639782389465795
Palabra: ba Frec: 1 LogProb: -8.94663520890585
Palabra: babies Frec: 1 LogProb: -8.94663520890585
Palabra: baby Frec: 6 LogProb: -7.6938722404104825
Palabra: back Frec: 14 LogProb: -6.931732188363585
Palabra: backed Frec: 1 LogProb: -8.94663520890585
Palabra: background Frec: 0 LogProb: -9.639782389465795
Palabra: bad Frec: 3 LogProb: -8.253488028345904
Palabra: bag Frec: 1 LogProb: -8.94663520890585
Palabra: bags Frec: 1 LogProb: -8.94663520890585
Palabra: bai Frec: 1 LogProb: -8.94663520890585
Palabra: bailouts Frec: 1 LogProb: -8.94663520890585
Palabra: bair Frec: 1 LogProb: -8.94663520890585
Palabra: bakery Frec: 1 LogProb: -8.94663520890585
Palabra: balance Frec: 3 LogProb: -8.253488028345904
Palabra: ban Frec: 0 LogProb: -9.639782389465795
Palabra: banamex Frec: 2 LogProb: -8.541170100797686
Palabra: banana Frec: 0 LogProb: -9.639782389465795
Palabra: bancorp Frec: 1 LogProb: -8.94663520890585
Palabra: bandung Frec: 0 LogProb: -9.639782389465795
Palabra: bank Frec: 28 LogProb: -6.272486559479321
Palabra: bank's Frec: 1 LogProb: -8.94663520890585
Palabra: bankers Frec: 2 LogProb: -8.541170100797686
Palabra: banking Frec: 13 LogProb: -7.000725059850537
Palabra: banks Frec: 38 LogProb: -5.976220743336149
Palabra: barack Frec: 2 LogProb: -8.541170100797686
Palabra: barclays Frec: 48 LogProb: -5.747962091355169
Palabra: barclaysstocktrade Frec: 1 LogProb: -8.94663520890585
