aprendizajeD.txt: 
Numero de documentos del corpus: 205
Numero de palabras del corpus: 2127
Palabra: agricultural Frec: 0 LogProb: -8.759825595314293
Palabra: ahead Frec: 1 LogProb: -8.06667841475435
Palabra: aid Frec: 0 LogProb: -8.759825595314293
Palabra: aided Frec: 0 LogProb: -8.759825595314293
Palabra: aig Frec: 0 LogProb: -8.759825595314293
Palabra: aim Frec: 0 LogProb: -8.759825595314293
Palabra: aimed Frec: 0 LogProb: -8.759825595314293
Palabra: aiming Frec: 0 LogProb: -8.759825595314293
Palabra: aims Frec: 0 LogProb: -8.759825595314293
Palabra: airs Frec: 0 LogProb: -8.759825595314293
Palabra: aksi Frec: 2 LogProb: -7.661213306646184
Palabra: alan Frec: 0 LogProb: -8.759825595314293
Palabra: albert Frec: 0 LogProb: -8.759825595314293
Palabra: alert Frec: 0 LogProb: -8.759825595314293
Palabra: alerts Frec: 0 LogProb: -8.759825595314293
Palabra: algeria Frec: 0 LogProb: -8.759825595314293
Palabra: alibaba Frec: 0 LogProb: -8.759825595314293
Palabra: align Frec: 0 LogProb: -8.759825595314293
Palabra: aligns Frec: 0 LogProb: -8.759825595314293
Palabra: all Frec: 10 LogProb: -6.361930322515923
Palabra: allergies Frec: 0 LogProb: -8.759825595314293
Palabra: allergy Frec: 0 LogProb: -8.759825595314293
Palabra: alleviating Frec: 0 LogProb: -8.759825595314293
Palabra: alliance Frec: 1 LogProb: -8.06667841475435
Palabra: allow Frec: 1 LogProb: -8.06667841475435
Palabra: allows Frec: 0 LogProb: -8.759825595314293
Palabra: almost Frec: 1 LogProb: -8.06667841475435
Palabra: along Frec: 1 LogProb: -8.06667841475435
Palabra: alongside Frec: 0 LogProb: -8.759825595314293
Palabra: aloysius Frec: 0 LogProb: -8.759825595314293
Palabra: alpha Frec: 0 LogProb: -8.759825595314293
Palabra: already Frec: 0 LogProb: -8.759825595314293
Palabra: also Frec: 0 LogProb: -8.759825595314293
Palabra: alternative Frec: 0 LogProb: -8.759825595314293
Palabra: alum Frec: 0 LogProb: -8.759825595314293
Palabra: always Frec: 0 LogProb: -8.759825595314293
Palabra: alzheimer's Frec: 0 LogProb: -8.759825595314293
Palabra: amazing Frec: 2 LogProb: -7.661213306646184
Palabra: amazon Frec: 0 LogProb: -8.759825595314293
Palabra: ambassadors Frec: 0 LogProb: -8.759825595314293
Palabra: ambition Frec: 0 LogProb: -8.759825595314293
Palabra: america Frec: 0 LogProb: -8.759825595314293
Palabra: americamerrill Frec: 0 LogProb: -8.759825595314293
Palabra: american Frec: 0 LogProb: -8.759825595314293
Palabra: americans Frec: 0 LogProb: -8.759825595314293
Palabra: americas Frec: 0 LogProb: -8.759825595314293
Palabra: amid Frec: 0 LogProb: -8.759825595314293
Palabra: among Frec: 0 LogProb: -8.759825595314293
Palabra: amounts Frec: 8 LogProb: -6.562601017978075
Palabra: an Frec: 3 LogProb: -7.373531234194403
Palabra: ana Frec: 0 LogProb: -8.759825595314293
Palabra: analysing Frec: 0 LogProb: -8.759825595314293
Palabra: analysis Frec: 0 LogProb: -8.759825595314293
Palabra: analyst Frec: 0 LogProb: -8.759825595314293
Palabra: analysts Frec: 0 LogProb: -8.759825595314293
Palabra: analytics Frec: 0 LogProb: -8.759825595314293
Palabra: anand Frec: 0 LogProb: -8.759825595314293
Palabra: and Frec: 19 LogProb: -5.764093321760303
Palabra: android Frec: 0 LogProb: -8.759825595314293
Palabra: anew Frec: 0 LogProb: -8.759825595314293
Palabra: angeles Frec: 1 LogProb: -8.06667841475435
Palabra: angry Frec: 0 LogProb: -8.759825595314293
Palabra: anil Frec: 0 LogProb: -8.759825595314293
Palabra: animal Frec: 0 LogProb: -8.759825595314293
Palabra: animals Frec: 0 LogProb: -8.759825595314293
Palabra: animation Frec: 0 LogProb: -8.759825595314293
Palabra: ann Frec: 0 LogProb: -8.759825595314293
Palabra: anniversary Frec: 0 LogProb: -8.759825595314293
Palabra: announce Frec: 0 LogProb: -8.759825595314293
Palabra: announced Frec: 0 LogProb: -8.759825595314293
Palabra: announces Frec: 0 LogProb: -8.759825595314293
Palabra: announcing Frec: 0 LogProb: -8.759825595314293
Palabra: annual Frec: 0 LogProb: -8.759825595314293
Palabra: annually Frec: 0 LogProb: -8.759825595314293
Palabra: answer Frec: 1 LogProb: -8.06667841475435
Palabra: antarctic Frec: 0 LogProb: -8.759825595314293
Palabra: antero Frec: 0 LogProb: -8.759825595314293
Palabra: anticorrupt Frec: 0 LogProb: -8.759825595314293
Palabra: antiretroviral Frec: 0 LogProb: -8.759825595314293
Palabra: antismoking Frec: 0 LogProb: -8.759825595314293
Palabra: any Frec: 1 LogProb: -8.06667841475435
Palabra: anyhoo Frec: 1 LogProb: -8.06667841475435
Palabra: anything Frec: 0 LogProb: -8.759825595314293
Palabra: ap Frec: 0 LogProb: -8.759825595314293
Palabra: apart Frec: 0 LogProb: -8.759825595314293
Palabra: apixaban Frec: 0 LogProb: -8.759825595314293
Palabra: app Frec: 1 LogProb: -8.06667841475435
Palabra: appeal Frec: 0 LogProb: -8.759825595314293
Palabra: apple Frec: 0 LogProb: -8.759825595314293
Palabra: application Frec: 0 LogProb: -8.759825595314293
Palabra: applications Frec: 0 LogProb: -8.759825595314293
Palabra: applied Frec: 0 LogProb: -8.759825595314293
Palabra: applies Frec: 0 LogProb: -8.759825595314293
Palabra: apply Frec: 0 LogProb: -8.759825595314293
Palabra: appointed Frec: 0 LogProb: -8.759825595314293
Palabra: appointment Frec: 0 LogProb: -8.759825595314293
Palabra: appoints Frec: 0 LogProb: -8.759825595314293
Palabra: appreciation Frec: 0 LogProb: -8.759825595314293
Palabra: approach Frec: 0 LogProb: -8.759825595314293
Palabra: approaches Frec: 0 LogProb: -8.759825595314293
Palabra: approved Frec: 0 LogProb: -8.759825595314293
Palabra: approx Frec: 0 LogProb: -8.759825595314293
Palabra: aprenda Frec: 0 LogProb: -8.759825595314293
Palabra: april Frec: 0 LogProb: -8.759825595314293
Palabra: aproch Frec: 0 LogProb: -8.759825595314293
Palabra: apts Frec: 0 LogProb: -8.759825595314293
Palabra: archive Frec: 0 LogProb: -8.759825595314293
Palabra: are Frec: 7 LogProb: -6.680384053634458
Palabra: areas Frec: 0 LogProb: -8.759825595314293
Palabra: aren't Frec: 0 LogProb: -8.759825595314293
Palabra: armynavy Frec: 0 LogProb: -8.759825595314293
Palabra: arnette Frec: 0 LogProb: -8.759825595314293
Palabra: around Frec: 2 LogProb: -7.661213306646184
Palabra: arrived Frec: 0 LogProb: -8.759825595314293
Palabra: arrogant Frec: 0 LogProb: -8.759825595314293
Palabra: art Frec: 0 LogProb: -8.759825595314293
Palabra: arthritis Frec: 0 LogProb: -8.759825595314293
Palabra: article Frec: 0 LogProb: -8.759825595314293
Palabra: articles Frec: 0 LogProb: -8.759825595314293
Palabra: arturo Frec: 0 LogProb: -8.759825595314293
Palabra: aruba Frec: 0 LogProb: -8.759825595314293
Palabra: as Frec: 2 LogProb: -7.661213306646184
Palabra: asap Frec: 0 LogProb: -8.759825595314293
Palabra: asia Frec: 0 LogProb: -8.759825595314293
Palabra: asian Frec: 0 LogProb: -8.759825595314293
Palabra: aside Frec: 0 LogProb: -8.759825595314293
Palabra: ask Frec: 0 LogProb: -8.759825595314293
Palabra: asks Frec: 0 LogProb: -8.759825595314293
Palabra: asn Frec: 0 LogProb: -8.759825595314293
Palabra: aspecial Frec: 0 LogProb: -8.759825595314293
Palabra: aspects Frec: 0 LogProb: -8.759825595314293
Palabra: aspen Frec: 0 LogProb: -8.759825595314293
Palabra: aspiring Frec: 0 LogProb: -8.759825595314293
Palabra: asset Frec: 1 LogProb: -8.06667841475435
Palabra: assets Frec: 0 LogProb: -8.759825595314293
Palabra: assisting Frec: 0 LogProb: -8.759825595314293
Palabra: associated Frec: 0 LogProb: -8.759825595314293
Palabra: association Frec: 0 LogProb: -8.759825595314293
Palabra: assure Frec: 1 LogProb: -8.06667841475435
Palabra: at Frec: 16 LogProb: -5.926612251258078
Palabra: ate Frec: 0 LogProb: -8.759825595314293
Palabra: athlete Frec: 0 LogProb: -8.759825595314293
Palabra: athletes Frec: 0 LogProb: -8.759825595314293
Palabra: attacks Frec: 0 LogProb: -8.759825595314293
Palabra: attacksstrokes Frec: 0 LogProb: -8.759825595314293
Palabra: attain Frec: 0 LogProb: -8.759825595314293
Palabra: attitudes Frec: 0 LogProb: -8.759825595314293
Palabra: attract Frec: 0 LogProb: -8.759825595314293
Palabra: au Frec: 0 LogProb: -8.759825595314293
Palabra: auction Frec: 0 LogProb: -8.759825595314293
Palabra: audio Frec: 0 LogProb: -8.759825595314293
Palabra: august Frec: 0 LogProb: -8.759825595314293
Palabra: austerity Frec: 0 LogProb: -8.759825595314293
Palabra: austin Frec: 0 LogProb: -8.759825595314293
Palabra: australia Frec: 2 LogProb: -7.661213306646184
Palabra: australian Frec: 2 LogProb: -7.661213306646184
Palabra: authorities Frec: 0 LogProb: -8.759825595314293
Palabra: autoenrolment Frec: 0 LogProb: -8.759825595314293
Palabra: automated Frec: 0 LogProb: -8.759825595314293
Palabra: autonomy Frec: 0 LogProb: -8.759825595314293
Palabra: available Frec: 0 LogProb: -8.759825595314293
